iter	RMSE
0	48.60067218
1	47.67997117
2	46.74060204
3	45.70386493
4	44.82273519
5	43.7918828
6	42.77594266
7	41.87133886
8	41.2008788
9	40.35314711
10	39.55836272
11	38.69237614
12	37.83747665
13	37.07457172
14	36.3188337
15	35.67746524
16	35.05247164
17	34.38731117
18	33.74111008
19	32.98794339
20	32.26423646
21	31.63244952
22	31.06995435
23	30.53229721
24	29.89140603
25	29.31376142
26	28.75204397
27	28.2164777
28	27.66650444
29	27.14222581
30	26.67148901
31	26.07965949
32	25.54310267
33	25.09935422
34	24.61471679
35	24.13415973
36	23.67955823
37	23.16971572
38	22.743746
39	22.36702885
40	21.98926106
41	21.52383535
42	21.16667968
43	20.81487219
44	20.40457102
45	20.08379537
46	19.72293545
47	19.40512805
48	19.11425096
49	18.75681891
50	18.45527021
51	18.13167537
52	17.79752646
53	17.48273172
54	17.17591146
55	16.86614178
56	16.62186429
57	16.28923481
58	16.06236051
59	15.79966499
60	15.5186163
61	15.2578482
62	14.97511367
63	14.75936981
64	14.54832884
65	14.32888927
66	14.10491675
67	13.88261771
68	13.7059643
69	13.49754684
70	13.27567095
71	13.08662605
72	12.94116531
73	12.72549417
74	12.53693028
75	12.34263917
76	12.13120307
77	11.95384425
78	11.76377609
79	11.59757048
80	11.44072858
81	11.28219205
82	11.11203371
83	10.97568463
84	10.83268003
85	10.67489308
86	10.52968162
87	10.38907553
88	10.24638297
89	10.13098684
90	10.00114769
91	9.875527568
92	9.768693517
93	9.64833518
94	9.542407599
95	9.450005315
96	9.354041685
97	9.262683113
98	9.172832613
99	9.085186952
100	8.992436009
101	8.877165219
102	8.769992031
103	8.683986781
104	8.585181493
105	8.487101631
106	8.39885402
107	8.300854267
108	8.195169708
109	8.113725705
110	8.024507506
111	7.968711886
112	7.893805382
113	7.821996707
114	7.765054227
115	7.689704192
116	7.617890954
117	7.570232519
118	7.508379327
119	7.426992639
120	7.364763638
121	7.288953313
122	7.235422491
123	7.172042055
124	7.118919555
125	7.050248496
126	7.007091099
127	6.948642962
128	6.900485341
129	6.875042948
130	6.822885884
131	6.77749272
132	6.721903376
133	6.665947669
134	6.615267097
135	6.575014258
136	6.534655554
137	6.489481008
138	6.447954593
139	6.400653442
140	6.352068001
141	6.317024105
