iter	Passed	Remaining
0	174	174713
1	186	92995
2	189	62948
3	192	47885
4	195	38909
5	198	32879
6	203	28829
7	206	25558
8	209	23016
9	211	20970
10	214	19287
11	218	17958
12	219	16700
13	222	15648
14	224	14763
15	227	13968
16	229	13250
17	231	12613
18	233	12036
19	235	11555
20	238	11103
21	240	10681
22	242	10296
23	244	9939
24	246	9608
25	247	9286
26	249	9005
27	251	8734
28	253	8486
29	254	8241
30	257	8038
31	258	7829
32	260	7629
33	262	7449
34	263	7266
35	265	7096
36	266	6944
37	268	6792
38	269	6647
39	271	6514
40	272	6380
41	274	6252
42	275	6130
43	276	6016
44	278	5905
45	279	5798
46	281	5716
47	283	5621
48	284	5526
49	285	5432
50	287	5347
51	288	5265
52	290	5182
53	291	5103
54	292	5028
55	293	4954
56	295	4881
57	297	4828
58	298	4763
59	300	4701
60	301	4639
61	302	4583
62	304	4524
63	305	4468
64	306	4412
65	308	4359
66	309	4310
67	310	4261
68	312	4213
69	314	4176
70	315	4133
71	317	4091
72	318	4048
73	320	4006
74	321	3967
75	323	3927
76	324	3890
77	325	3851
78	327	3823
79	329	3790
80	330	3755
81	332	3723
82	334	3690
83	335	3657
84	336	3623
85	337	3590
86	339	3558
87	340	3528
88	341	3497
89	343	3468
90	344	3444
91	346	3417
92	347	3390
93	348	3362
94	350	3335
95	351	3309
96	352	3283
97	354	3259
98	355	3234
99	356	3212
100	358	3188
101	359	3164
102	360	3141
103	362	3121
104	363	3099
105	365	3079
106	366	3059
107	368	3039
108	369	3019
109	370	2999
110	371	2977
111	373	2957
112	374	2938
113	375	2920
114	376	2901
115	378	2883
116	379	2865
117	380	2846
118	382	2828
119	383	2814
120	385	2798
121	386	2784
122	388	2768
123	389	2751
124	390	2736
125	392	2720
126	393	2704
127	394	2688
128	395	2672
129	397	2658
130	398	2642
131	400	2633
132	401	2619
133	403	2604
134	404	2590
135	405	2577
136	407	2564
137	408	2551
138	409	2539
139	411	2525
140	412	2512
141	413	2500
142	415	2491
143	417	2479
144	418	2466
145	419	2454
146	421	2443
147	422	2431
148	423	2421
149	425	2409
150	426	2397
151	427	2385
152	429	2375
153	430	2363
154	432	2355
155	433	2345
156	434	2334
157	436	2325
158	437	2314
159	438	2301
160	439	2290
161	440	2280
162	442	2270
163	443	2260
164	444	2251
165	446	2243
166	447	2234
167	449	2224
168	450	2214
169	451	2206
170	452	2194
171	453	2185
172	455	2177
173	456	2166
174	457	2157
175	458	2148
176	460	2139
177	461	2133
178	463	2125
179	464	2118
180	466	2109
181	467	2101
182	468	2092
183	470	2086
184	471	2077
185	472	2069
186	474	2064
187	476	2056
188	477	2048
189	478	2040
190	479	2032
191	481	2024
192	482	2016
193	483	2008
194	484	2001
195	486	1997
196	488	1990
197	489	1983
198	490	1975
199	492	1969
200	493	1961
201	494	1954
202	496	1947
203	497	1940
204	498	1934
205	500	1927
206	502	1923
207	503	1918
208	505	1912
209	506	1905
210	507	1897
211	508	1890
212	510	1884
213	511	1877
214	512	1871
215	513	1864
216	515	1858
217	515	1849
218	517	1844
219	518	1839
220	520	1834
221	521	1829
222	523	1823
223	524	1818
224	525	1811
225	527	1806
226	528	1800
227	530	1795
228	531	1788
229	532	1783
230	534	1778
231	535	1773
232	536	1767
233	538	1762
234	539	1757
235	541	1752
236	542	1746
237	544	1741
238	545	1737
239	546	1731
240	548	1726
241	549	1722
242	551	1717
243	552	1713
244	554	1708
245	555	1703
246	556	1696
247	557	1690
248	558	1685
249	560	1680
250	561	1675
251	562	1671
252	564	1666
253	565	1661
254	566	1655
255	568	1651
256	570	1648
257	570	1641
258	572	1637
259	573	1632
260	574	1626
261	575	1622
262	577	1617
263	578	1612
264	580	1610
265	581	1605
266	583	1601
