iter	RMSE
0	50.86543547
1	49.91111179
2	48.79421349
3	47.73675583
4	46.80766862
5	45.84480832
6	44.87969225
7	43.9705915
8	43.12197315
9	42.22856765
10	41.37831436
11	40.60854262
12	39.72773441
13	39.01919134
14	38.26658194
15	37.58794925
16	36.8619811
17	36.07878651
18	35.40224346
19	34.6644308
20	34.06069115
21	33.47808335
22	32.8338645
23	32.23462535
24	31.56424346
25	31.02286225
26	30.47650987
27	29.80299975
28	29.25677146
29	28.68344755
30	28.0985821
31	27.66744211
32	27.20321231
33	26.77453124
34	26.38039948
35	25.90153213
36	25.39604667
37	24.95772007
38	24.5463788
39	24.22436631
40	23.86498716
41	23.5307889
42	23.09657384
43	22.71488665
44	22.38228412
45	22.05949086
46	21.66801096
47	21.36955082
48	20.9781258
49	20.66756396
50	20.29834754
51	19.94495761
52	19.64239977
53	19.33230519
54	19.01270688
55	18.70522452
56	18.45744791
57	18.21900282
58	17.93119183
59	17.6693891
60	17.44829925
61	17.25812445
62	17.00598987
63	16.74394047
64	16.56504917
65	16.34491549
66	16.11297112
67	15.94629424
68	15.81523157
69	15.66662696
70	15.46905452
71	15.25192355
72	15.07838615
73	14.85295542
74	14.65921901
75	14.48761155
76	14.36205136
77	14.19074505
78	14.04847288
79	13.85528274
80	13.74182603
81	13.5898183
82	13.43654657
83	13.32771849
84	13.18436254
85	13.01452316
86	12.87206388
87	12.73328934
88	12.59572652
89	12.43997175
90	12.27852249
91	12.19148586
92	12.05202409
93	11.96906733
94	11.85355671
95	11.74692205
96	11.64813526
97	11.57289557
98	11.49081301
99	11.37161958
100	11.25383496
101	11.14619491
102	11.06484591
103	10.94697855
104	10.85683246
105	10.76050001
106	10.67528968
107	10.59497426
108	10.50669015
109	10.42624515
110	10.37883012
111	10.33438239
112	10.25251747
113	10.18620145
114	10.10641547
115	10.02896022
116	9.976490491
117	9.873634193
118	9.800962164
119	9.733340506
120	9.647260654
121	9.581267679
122	9.528546009
123	9.473695311
124	9.41899074
125	9.378036008
126	9.310423941
127	9.253251722
128	9.192475595
129	9.136716521
130	9.061933854
131	9.009423168
132	8.941518544
133	8.91175467
134	8.846390746
135	8.803245817
136	8.758325465
137	8.707907424
138	8.669389853
139	8.622578322
140	8.564812606
141	8.531106493
142	8.475056123
143	8.42693209
144	8.397129742
145	8.32922576
146	8.273507589
147	8.236872944
148	8.194574668
149	8.160807071
150	8.10615602
151	8.056633751
152	8.009231514
153	7.966465028
154	7.956481865
155	7.914740082
156	7.88275147
157	7.823941952
158	7.810442015
159	7.790256066
160	7.753779386
161	7.729569421
162	7.707074691
163	7.661568521
164	7.633896671
165	7.609106385
166	7.578241122
167	7.536491022
168	7.509821665
169	7.462613332
170	7.430113354
171	7.408036377
172	7.350990164
173	7.307484651
174	7.281615189
175	7.242702823
176	7.203729294
177	7.18436734
178	7.148433033
179	7.115202455
180	7.085916142
181	7.078504212
182	7.055381439
183	7.023641579
184	6.990316806
185	6.958674191
186	6.949800057
187	6.889476772
188	6.847589686
189	6.808099542
190	6.767726892
191	6.7592353
192	6.723973865
193	6.67881777
194	6.661503668
195	6.654307552
196	6.636950033
197	6.609407332
198	6.604882957
199	6.594322183
200	6.565435313
201	6.557315049
202	6.540134271
203	6.520269208
204	6.500398693
205	6.458062116
206	6.451781885
207	6.426605004
208	6.420933328
209	6.384179982
210	6.363146469
211	6.358244028
212	6.347587214
213	6.343726283
214	6.323179794
215	6.310487477
216	6.305636086
217	6.283660019
218	6.248490359
219	6.227396545
220	6.202339957
221	6.190522546
222	6.165822957
223	6.15689295
224	6.124272988
225	6.104480942
226	6.086840294
227	6.063611119
228	6.045037962
229	6.017554864
230	5.985858594
231	5.970490369
232	5.956491337
233	5.930078544
234	5.899998588
235	5.883285046
236	5.867726647
237	5.833287514
238	5.806271916
239	5.776420567
240	5.758851687
241	5.736652342
242	5.709687311
243	5.674392683
244	5.65252268
245	5.643626485
246	5.610089104
247	5.587360303
248	5.570508878
249	5.545012708
250	5.540043108
251	5.51912035
252	5.507384824
253	5.503520254
254	5.479305363
255	5.466578397
256	5.440019551
257	5.420858921
258	5.417865168
259	5.403900556
260	5.371045024
261	5.3563676
262	5.321455098
263	5.301896336
264	5.27652623
265	5.259053823
266	5.245203187
267	5.222289389
268	5.21079008
269	5.183042966
270	5.162139187
271	5.153134956
272	5.138768526
273	5.12479022
274	5.096245987
275	5.068412874
276	5.059466733
277	5.025799369
278	5.008012143
279	4.987893796
280	4.958723612
281	4.936166224
282	4.919594388
283	4.912752774
284	4.882028182
285	4.869331798
286	4.846977254
287	4.830940811
288	4.818893664
289	4.809000795
290	4.773774152
291	4.770468764
292	4.765310593
293	4.747105032
294	4.733543826
295	4.719509434
296	4.693071633
297	4.680752278
298	4.654283144
299	4.629230629
300	4.603024047
301	4.575705343
302	4.555904834
303	4.536993769
304	4.516138156
305	4.499177969
306	4.486799379
307	4.476407338
308	4.472052817
309	4.447421763
310	4.426024127
311	4.416783551
312	4.399900714
313	4.393457945
314	4.368814117
315	4.345552219
316	4.32493385
317	4.313803715
318	4.291763399
319	4.288258956
320	4.26398327
321	4.260735695
322	4.237063759
323	4.226341595
324	4.204520338
325	4.199984755
326	4.181281428
327	4.164817121
328	4.158364281
329	4.141255705
330	4.137774505
331	4.123929154
332	4.115420484
333	4.098155797
334	4.094764512
335	4.077967843
336	4.074146572
337	4.063209994
338	4.042502286
339	4.017569943
340	4.014365132
341	4.007109246
342	3.991089651
343	3.978344911
344	3.962144986
345	3.941987051
346	3.925504989
347	3.922956954
348	3.896707446
349	3.88414139
350	3.864992977
351	3.846972643
352	3.828975342
353	3.812630995
354	3.791101289
355	3.775415017
356	3.772348925
357	3.754248759
358	3.74270952
359	3.739750978
360	3.722731101
361	3.719708273
362	3.717491198
363	3.693507859
364	3.676894396
365	3.657001039
366	3.645221379
367	3.625824638
368	3.616315081
369	3.596523602
370	3.586063496
371	3.571506339
372	3.568439784
373	3.559746078
374	3.549724695
375	3.534320258
376	3.521971281
377	3.509179302
378	3.491593687
379	3.476980643
380	3.461805783
381	3.454997575
382	3.441570517
383	3.438645369
384	3.436731761
385	3.434049175
386	3.418865537
387	3.399085385
388	3.386349668
389	3.373713841
390	3.358603177
391	3.340234274
392	3.327699654
393	3.325414491
394	3.323709796
395	3.320175029
396	3.302543549
397	3.289635941
398	3.277419965
399	3.259790608
400	3.252378826
401	3.237661634
402	3.222305942
403	3.204660814
404	3.200957405
405	3.18875156
406	3.17811666
407	3.168063946
408	3.164610998
409	3.154991669
410	3.144855058
411	3.133954785
