iter	Passed	Remaining
0	153	153670
1	162	80907
2	168	55962
3	170	42469
4	174	34658
5	176	29240
6	186	26433
7	190	23651
8	193	21317
9	195	19395
10	198	17829
11	201	16567
12	197	14974
13	205	14499
14	201	13264
15	202	12483
16	204	11831
17	207	11315
18	209	10801
19	211	10348
20	213	9940
21	215	9559
22	217	9221
23	218	8884
24	220	8603
25	222	8336
26	224	8077
27	225	7838
28	228	7639
29	229	7422
30	230	7217
31	232	7023
32	233	6848
33	235	6685
34	236	6521
35	237	6370
36	239	6226
37	240	6091
38	242	5985
39	244	5865
40	245	5745
41	247	5637
42	248	5529
43	249	5429
44	251	5341
45	253	5247
46	254	5158
47	256	5084
48	257	5000
49	259	4931
50	260	4853
51	262	4776
52	263	4705
53	264	4634
54	266	4570
55	267	4510
56	268	4448
57	270	4398
58	272	4339
59	273	4287
60	275	4233
61	276	4185
62	278	4134
63	279	4088
64	280	4040
65	282	3993
66	283	3946
67	285	3909
68	286	3864
69	287	3822
70	289	3783
71	290	3746
72	292	3709
73	293	3672
74	294	3636
75	296	3600
76	297	3565
77	299	3534
78	300	3500
79	301	3470
80	303	3439
81	304	3408
82	304	3369
83	306	3341
84	307	3311
85	308	3282
86	310	3254
87	311	3229
88	312	3203
89	314	3179
90	315	3155
91	317	3129
92	318	3105
93	319	3080
94	320	3057
95	322	3033
96	323	3011
97	324	2990
98	326	2968
99	326	2941
100	328	2922
101	329	2904
102	331	2883
103	332	2863
104	333	2843
105	335	2825
106	336	2806
107	338	2791
108	339	2776
109	341	2759
110	342	2743
111	343	2726
112	345	2710
113	346	2693
114	347	2677
115	349	2660
116	350	2643
117	351	2628
118	354	2621
119	355	2608
120	356	2592
121	358	2578
122	359	2565
123	361	2550
124	362	2538
125	363	2523
126	364	2508
127	366	2495
128	367	2481
129	370	2477
130	372	2471
1131	380	2498132	377	2458
133	379	2452
134	382	2447
135	383	2438
136	386	2432
137	388	2425
138	389	2414
139	391	2402
1140	397	2423141	395	2390
142	399	2394
143	401	2386
144	402	2375
145	404	2364
146	405	2353
147	406	2342
148	408	2332
149	410	2323
150	411	2312
151	412	2302
152	414	2292
153	415	2281
154	417	2273
155	418	2264
156	419	2254
157	421	2244
158	422	2234
159	423	2224
160	425	2216
161	426	2207
162	427	2197
163	429	2188
164	430	2179
165	432	2173
166	433	2164
167	435	2154
168	435	2143
169	437	2134
170	438	2125
171	439	2115
172	440	2107
173	441	2097
174	443	2089
175	444	2080
176	445	2072
1177	451	20851178	468	2149
179	470	2141
180	471	2132
181	472	2124
182	473	2115
183	475	2107
184	476	2098
185	477	2091
186	479	2082
187	480	2075
188	481	2067
189	483	2061
190	484	2053
191	486	2045
192	487	2038
193	488	2031
194	490	2023
195	491	2015
196	492	2008
197	494	2001
198	495	1994
199	497	1988
200	498	1981
201	499	1974
202	501	1967
203	502	1961
204	503	1953
205	504	1945
206	506	1938
207	507	1932
208	508	1925
209	510	1918
210	511	1914
211	513	1908
212	514	1901
213	515	1895
214	517	1889
215	518	1882
216	519	1876
217	521	1869
218	522	1863
219	523	1856
220	524	1850
221	527	1847
222	528	1841
223	530	1836
224	531	1830
225	532	1825
226	534	1819
227	535	1813
228	536	1807
229	538	1802
230	539	1797
231	542	1794
232	543	1788
233	545	1784
234	546	1778
235	547	1773
236	549	1768
237	550	1763
238	552	1758
239	553	1752
240	556	1751
241	557	1746
242	559	1742
243	560	1737
244	562	1732
245	563	1727
246	564	1722
247	566	1716
248	567	1711
249	568	1706
250	570	1703
251	572	1698
252	573	1693
253	574	1688
254	576	1682
255	577	1678
256	578	1673
257	580	1669
258	582	1665
259	583	1660
260	584	1656
261	586	1651
262	587	1646
263	588	1641
264	590	1637
265	591	1632
266	593	1628
267	594	1623
268	595	1618
269	596	1613
270	598	1610
271	600	1606
272	601	1601
273	602	1597
274	603	1592
275	605	1587
276	606	1583
277	608	1579
278	609	1574
279	610	1570
280	612	1566
281	613	1563
282	615	1558
283	616	1554
284	617	1549
285	619	1545
286	620	1541
287	621	1537
288	623	1533
289	624	1529
290	625	1525
291	627	1521
292	628	1517
293	630	1513
294	631	1509
295	633	1505
296	634	1501
297	635	1497
298	637	1493
299	638	1489
300	639	1485
301	640	1481
302	642	1477
303	644	1476
304	646	1472
305	647	1469
306	649	1465
307	650	1461
308	651	1457
309	653	1453
310	654	1449
311	655	1446
312	658	1444
313	659	1441
314	660	1436
315	662	1433
316	663	1430
317	665	1426
318	666	1422
319	667	1418
320	668	1415
321	670	1411
322	671	1407
323	675	1410
324	677	1407
325	679	1404
326	680	1400
327	681	1396
328	683	1393
329	684	1389
330	685	1385
331	686	1381
332	688	1378
333	689	1374
334	690	1371
335	692	1368
336	693	1364
337	695	1361
338	696	1357
339	697	1354
340	698	1350
341	699	1346
342	701	1343
343	702	1339
344	703	1336
345	705	1332
346	706	1329
347	707	1326
348	709	1322
349	711	1320
350	712	1316
351	713	1313
352	714	1309
353	715	1306
354	717	1303
355	718	1299
356	719	1296
357	721	1293
358	722	1290
359	724	1287
360	725	1283
361	726	1280
362	727	1277
363	729	1273
364	730	1270
365	731	1267
366	732	1264
367	734	1261
368	735	1257
369	736	1254
370	738	1252
371	739	1248
372	741	1245
373	742	1242
374	743	1239
375	744	1236
376	746	1232
377	747	1229
378	748	1226
379	749	1223
380	751	1220
381	752	1217
382	754	1215
383	756	1212
384	757	1209
385	758	1206
386	759	1203
387	761	1200
388	762	1197
389	763	1194
390	764	1191
391	766	1188
392	767	1185
393	768	1182
394	771	1181
395	772	1178
396	774	1175
397	775	1172
398	776	1169
399	777	1166
400	779	1163
401	780	1160
402	781	1158
403	783	1155
404	785	1153
405	786	1151
406	788	1148
407	789	1145
408	790	1142
409	792	1140
410	793	1137
411	794	1134
412	795	1131
413	797	1128
414	798	1125
415	800	1123
416	801	1120
417	802	1117
418	803	1114
419	805	1111
420	806	1109
421	807	1106
422	808	1103
423	810	1100
424	811	1097
425	812	1094
426	813	1092
427	815	1090
428	817	1087
429	818	1085
430	820	1082
431	821	1080
432	822	1077
433	823	1074
434	825	1072
435	826	1069
436	828	1067
437	829	1064
438	830	1061
439	832	1060
440	834	1057
441	835	1054
442	837	1052
443	838	1049
444	839	1047
445	840	1044
446	841	1041
447	843	1038
448	844	1036
449	845	1033
450	847	1031
451	849	1029
452	850	1026
453	851	1024
454	852	1021
455	854	1018
456	855	1016
457	856	1013
458	858	1011
459	859	1009
460	860	1006
461	862	1004
462	863	1001
463	865	999
464	866	997
465	867	994
466	869	991
467	870	989
468	871	986
469	872	984
470	873	981
471	875	979
472	876	976
473	877	974
474	879	971
475	881	970
476	882	967
477	883	965
478	885	962
479	886	960
480	888	958
481	889	956
482	890	953
483	892	951
484	893	948
485	894	946
486	896	944
487	897	942
488	899	939
489	900	937
490	902	935
491	903	932
